instrument_token,exchange_token,tradingsymbol,name,expiry,strike,lot_size,instrument_type
8968194,35032,BANKNIFTY21JAN20900CE,BANKNIFTY,2021-01-28,20900,25,CE
8968706,35034,BANKNIFTY21JAN20900PE,BANKNIFTY,2021-01-28,20900,25,PE
8973314,35052,BANKNIFTY21JAN21000CE,BANKNIFTY,2021-01-28,21000,25,CE
8973570,35053,BANKNIFTY21JAN21000PE,BANKNIFTY,2021-01-28,21000,25,PE
13474306,52634,BANKNIFTY21JAN21100CE,BANKNIFTY,2021-01-28,21100,25,CE
13474562,52635,BANKNIFTY21JAN21100PE,BANKNIFTY,2021-01-28,21100,25,PE
13603330,53138,BANKNIFTY21JAN21200CE,BANKNIFTY,2021-01-28,21200,25,CE
13603586,53139,BANKNIFTY21JAN21200PE,BANKNIFTY,2021-01-28,21200,25,PE
13625346,53224,BANKNIFTY21JAN21300CE,BANKNIFTY,2021-01-28,21300,25,CE
13625602,53225,BANKNIFTY21JAN21300PE,BANKNIFTY,2021-01-28,21300,25,PE
13706242,53540,BANKNIFTY21JAN21400CE,BANKNIFTY,2021-01-28,21400,25,CE
13706498,53541,BANKNIFTY21JAN21400PE,BANKNIFTY,2021-01-28,21400,25,PE
13706754,53542,BANKNIFTY21JAN21500CE,BANKNIFTY,2021-01-28,21500,25,CE
13707010,53543,BANKNIFTY21JAN21500PE,BANKNIFTY,2021-01-28,21500,25,PE
13754114,53727,BANKNIFTY21JAN21600CE,BANKNIFTY,2021-01-28,21600,25,CE
13754370,53728,BANKNIFTY21JAN21600PE,BANKNIFTY,2021-01-28,21600,25,PE
13766146,53774,BANKNIFTY21JAN21700CE,BANKNIFTY,2021-01-28,21700,25,CE
13779458,53826,BANKNIFTY21JAN21700PE,BANKNIFTY,2021-01-28,21700,25,PE
13804802,53925,BANKNIFTY21JAN21800CE,BANKNIFTY,2021-01-28,21800,25,CE
13805058,53926,BANKNIFTY21JAN21800PE,BANKNIFTY,2021-01-28,21800,25,PE
13872386,54189,BANKNIFTY21JAN21900CE,BANKNIFTY,2021-01-28,21900,25,CE
13872642,54190,BANKNIFTY21JAN21900PE,BANKNIFTY,2021-01-28,21900,25,PE
13992450,54658,BANKNIFTY21JAN22000CE,BANKNIFTY,2021-01-28,22000,25,CE
13992706,54659,BANKNIFTY21JAN22000PE,BANKNIFTY,2021-01-28,22000,25,PE
13992962,54660,BANKNIFTY21JAN22100CE,BANKNIFTY,2021-01-28,22100,25,CE
13993218,54661,BANKNIFTY21JAN22100PE,BANKNIFTY,2021-01-28,22100,25,PE
13993474,54662,BANKNIFTY21JAN22200CE,BANKNIFTY,2021-01-28,22200,25,CE
13993730,54663,BANKNIFTY21JAN22200PE,BANKNIFTY,2021-01-28,22200,25,PE
13993986,54664,BANKNIFTY21JAN22300CE,BANKNIFTY,2021-01-28,22300,25,CE
13994242,54665,BANKNIFTY21JAN22300PE,BANKNIFTY,2021-01-28,22300,25,PE
13994498,54666,BANKNIFTY21JAN22400CE,BANKNIFTY,2021-01-28,22400,25,CE
13994754,54667,BANKNIFTY21JAN22400PE,BANKNIFTY,2021-01-28,22400,25,PE
13995010,54668,BANKNIFTY21JAN22500CE,BANKNIFTY,2021-01-28,22500,25,CE
13995266,54669,BANKNIFTY21JAN22500PE,BANKNIFTY,2021-01-28,22500,25,PE
14003970,54703,BANKNIFTY21JAN22600CE,BANKNIFTY,2021-01-28,22600,25,CE
14004226,54704,BANKNIFTY21JAN22600PE,BANKNIFTY,2021-01-28,22600,25,PE
14004482,54705,BANKNIFTY21JAN22700CE,BANKNIFTY,2021-01-28,22700,25,CE
14004738,54706,BANKNIFTY21JAN22700PE,BANKNIFTY,2021-01-28,22700,25,PE
14004994,54707,BANKNIFTY21JAN22800CE,BANKNIFTY,2021-01-28,22800,25,CE
14005250,54708,BANKNIFTY21JAN22800PE,BANKNIFTY,2021-01-28,22800,25,PE
14005506,54709,BANKNIFTY21JAN22900CE,BANKNIFTY,2021-01-28,22900,25,CE
14005762,54710,BANKNIFTY21JAN22900PE,BANKNIFTY,2021-01-28,22900,25,PE
14006018,54711,BANKNIFTY21JAN23000CE,BANKNIFTY,2021-01-28,23000,25,CE
14006274,54712,BANKNIFTY21JAN23000PE,BANKNIFTY,2021-01-28,23000,25,PE
14006530,54713,BANKNIFTY21JAN23100CE,BANKNIFTY,2021-01-28,23100,25,CE
